name,description,price,compare_at_price,category,stock_quantity,sku,status,weight,is_bestseller,is_special,is_new_arrival,image_name
"Qasil Powder","Somali qasil powder for natural cleansing",550.00,650.00,"Cleansers",60,"TJ-QP-017","active",0.20,false,false,false,"Qasil powder.jpeg"
"Niacinamide Serum","Pore-minimizing niacinamide serum",1300.00,1600.00,"Serums",30,"TJ-NS-018","active",0.10,true,false,true,"niacinamide serum.jpeg"
"Malibu Sunscreen","SPF 50 sunscreen for daily protection",1100.00,1300.00,"Sun Care",50,"TJ-MS-019","active",0.15,false,false,false,"Malibu sunscreen.jpeg"
"Liwa Powder","Traditional liwa powder for skin brightening",500.00,600.00,"Cleansers",55,"TJ-LP-020","active",0.25,false,false,false,"liwa powder.jpeg"
"Lip Oil","Nourishing lip oil with natural extracts",400.00,500.00,"Lip Care",100,"TJ-LO-021","active",0.05,false,false,false,"lip oil.jpeg"
"Leopard Bonnet","Satin bonnet for hair protection",600.00,750.00,"Hair Accessories",40,"TJ-LB-022","active",0.08,false,false,false,"leopard bonet.jpeg"
"Hydrolyzed Collagen","Collagen powder for skin elasticity",1400.00,1700.00,"Supplements",25,"TJ-HC-023","active",0.30,false,true,false,"Hydrolyzed Collagen.jpeg"
"Dr Rashel Sunscreen","Premium sunscreen with skincare benefits",1300.00,1550.00,"Sun Care",35,"TJ-DRS-024","active",0.15,false,false,false,"Dr Rashel Sunscreen.jpeg"
"Collagen Peptide Face Mask","Anti-aging collagen face mask",900.00,1100.00,"Face Masks",40,"TJ-CPFM-025","active",0.20,false,false,false,"collagen peptide face mask.jpeg"
"Coffee Sea Salt Scrub","Energizing coffee body scrub",850.00,1000.00,"Body Scrubs",45,"TJ-CSS-026","active",0.30,false,false,false,"Coffee sea salt scrub.jpeg"
"Bonnet","Silk bonnet for natural hair",550.00,650.00,"Hair Accessories",50,"TJ-BN-027","active",0.08,false,false,false,"bonnet.jpeg"
"Bonnet 2","Double-layer satin bonnet",650.00,800.00,"Hair Accessories",40,"TJ-BN2-028","active",0.10,false,false,false,"bonnet 2.jpeg"
"Blue Bonnet","Blue satin hair bonnet",600.00,750.00,"Hair Accessories",35,"TJ-BB-029","active",0.08,false,false,false,"blue bonet.jpeg"
"Black Soap","Traditional African black soap",500.00,600.00,"Soaps",80,"TJ-BS-030","active",0.12,false,false,false,"black soap.jpeg"
"Bentonite Clay","Detoxifying bentonite clay mask",700.00,850.00,"Face Masks",60,"TJ-BC-031","active",0.25,false,false,false,"Bentonite clay.jpeg"
"Bathing Glove","Exfoliating bathing glove",350.00,450.00,"Bath Accessories",100,"TJ-BG-032","active",0.05,false,false,false,"Bathing glove.jpeg"
"Bathing Glove 2","Premium exfoliating glove",400.00,500.00,"Bath Accessories",90,"TJ-BG2-033","active",0.06,false,false,false,"bathing glove 2.jpeg"
"Banana Foot Mask","Moisturizing banana foot treatment",750.00,900.00,"Foot Care",30,"TJ-BFM-034","active",0.25,false,false,false,"banana foot mask.jpeg"
"Ayurvedic Soap","Herbal ayurvedic soap for all skin types",550.00,650.00,"Soaps",70,"TJ-AS-035","active",0.12,false,false,false,"Ayurvedic soap.jpeg"
"Asantee Soap","Thai Asantee papaya soap",600.00,750.00,"Soaps",65,"TJ-ATS-036","active",0.12,false,false,false,"Asantee soap.jpeg"
"Aloe Vera Gel","Pure aloe vera gel for soothing skin",500.00,600.00,"Raw Ingredients",90,"TJ-AVG-037","active",0.30,false,false,false,"Aloe vera gel.jpeg"
